,precision,recall,f1-score,support
0=Blood Donor,0.9814814814814815,0.9906542056074766,0.986046511627907,107.0
0s=suspect Blood Donor,1.0,1.0,1.0,1.0
1=Hepatitis,0.25,0.2,0.2222222222222222,5.0
2=Fibrosis,0.25,0.25,0.25,4.0
3=Cirrhosis,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
